sample_name	birth_date	body_weight_at_sacrifice	body_weight_at_sacrifice_unit	collection_date	collection_timestamp	condition	country	description	dna_extracted	elevation	empo_1	empo_2	empo_3	empo_4	env_biome	env_feature	env_material	env_package	facility	facs_presorted_bacteria	fat	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_cageid	host_common_name	host_genotype	host_height	host_height_units	host_life_stage	host_scientific_name	host_strain	host_subject_id	host_taxid	host_vendor	host_weight	host_weight_units	latitude	liver_weight	liver_weight_unit	longitude	physical_specimen_location	physical_specimen_remaining	qiita_sample_type	qiita_study_id	sample_type	scientific_name	sex	taxon_id	timepoint	title
15900.s19.S19	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	7	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55210	10090	Janvier Labs	19.0	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s2.S2	2021-09-14 00:00:00	not collected	g	2021-11-23 00:00:00	2021-11-23 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	1	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55188	10090	Janvier Labs	27.4	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	male	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s20.S20	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	7	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55211	10090	Janvier Labs	23.9	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s21.S21	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	7	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55212	10090	Janvier Labs	19.7	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s22.S22	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	8	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55213	10090	Janvier Labs	18.2	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s23.S23	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	8	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55214	10090	Janvier Labs	18.5	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s24.S24	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	8	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55215	10090	Janvier Labs	20.6	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s25.S25	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	9	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55216	10090	Janvier Labs	20.7	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s26.S26	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	9	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55217	10090	Janvier Labs	21.0	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s27.S27	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	9	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55218	10090	Janvier Labs	20.1	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s28.S28	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	10	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55219	10090	Janvier Labs	22.4	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s289.1.S289.1	2021-09-16 00:00:00	21.4	g	2022-02-16 00:00:00	2022-02-16 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.28	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	7	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55210	10090	Janvier Labs	22	g	51.206417488638486	1.04	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s289.S289	2021-09-16 00:00:00	21.4	g	2022-02-16 00:00:00	2022-02-16 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.28	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	7	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55210	10090	Janvier Labs	22	g	51.206417488638486	1.04	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s29.S29	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	10	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55220	10090	Janvier Labs	18.8	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s290.1.S290.1	2021-09-16 00:00:00	23.2	g	2022-02-16 00:00:00	2022-02-16 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.56	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	9	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55216	10090	Janvier Labs	23.9	g	51.206417488638486	1.12	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s290.S290	2021-09-16 00:00:00	23.2	g	2022-02-16 00:00:00	2022-02-16 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.56	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	9	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55216	10090	Janvier Labs	23.9	g	51.206417488638486	1.12	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s291.1.S291.1	2021-09-14 00:00:00	32.7	g	2022-02-14 00:00:00	2022-02-14 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	1.23	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	5	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55199	10090	Janvier Labs	34.7	g	51.206417488638486	1.52	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s291.S291	2021-09-14 00:00:00	32.7	g	2022-02-14 00:00:00	2022-02-14 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	1.23	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	5	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55199	10090	Janvier Labs	34.7	g	51.206417488638486	1.52	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s292.1.S292.1	2021-09-14 00:00:00	29.4	g	2022-02-14 00:00:00	2022-02-14 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.69	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	4	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55196	10090	Janvier Labs	30.1	g	51.206417488638486	1.53	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s292.S292	2021-09-14 00:00:00	29.4	g	2022-02-14 00:00:00	2022-02-14 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.69	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	4	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55196	10090	Janvier Labs	30.1	g	51.206417488638486	1.53	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s293.1.S293.1	2021-09-16 00:00:00	24.0	g	2022-02-16 00:00:00	2022-02-16 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.76	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	8	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55215	10090	Janvier Labs	25	g	51.206417488638486	1.09	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
